"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,b3,c,d,e,f,g1,g2
48,STRĂINĂTATE,AUSTRIA,9999,LINZ,LINZ,29,"Alegeri Prezidentiale",1,0,1801,0,1801,0,1781,20,6998,5197,1667,114
48,STRĂINĂTATE,AUSTRIA,9999,LINZ,LINZ,30,"Alegeri Prezidentiale",1,0,2415,0,2415,0,2387,28,7000,4585,2258,129
48,STRĂINĂTATE,AUSTRIA,9999,INNSBRUCK,INNSBRUCK,31,"Alegeri Prezidentiale",1,0,1172,0,1172,0,1162,10,7000,5828,1102,60
48,STRĂINĂTATE,AUSTRIA,9999,"SANKT PÖLTEN","SANKT PÖLTEN",32,"Alegeri Prezidentiale",1,0,1352,0,1352,0,1335,17,7000,5648,1229,106
48,STRĂINĂTATE,AUSTRIA,9999,EISENSTADT,EISENSTADT,33,"Alegeri Prezidentiale",1,0,1007,0,1007,0,1004,3,7000,5993,952,52
48,STRĂINĂTATE,AUSTRIA,9999,BREGENZ,BREGENZ,34,"Alegeri Prezidentiale",1,0,1224,0,1224,0,1215,9,7000,5776,1145,70
48,STRĂINĂTATE,AZERBAIDJAN,9999,BAKU,BAKU,35,"Alegeri Prezidentiale",1,0,37,0,37,0,37,0,400,363,30,7
48,STRĂINĂTATE,BELARUS,9999,MINSK,MINSK,36,"Alegeri Prezidentiale",1,0,31,0,31,0,31,0,100,69,23,8
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,37,"Alegeri Prezidentiale",1,0,1917,0,1917,0,1876,41,10000,8083,1688,188
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,38,"Alegeri Prezidentiale",1,0,1918,0,1918,0,1885,33,10000,8082,1754,131
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,39,"Alegeri Prezidentiale",1,0,2047,0,2047,0,2037,10,10000,7953,1886,151
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,40,"Alegeri Prezidentiale",1,0,1576,0,1576,0,1560,16,10000,8424,1468,92
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,41,"Alegeri Prezidentiale",1,0,6188,0,6188,0,6141,47,10000,3812,5671,470
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,42,"Alegeri Prezidentiale",1,0,1104,0,1104,0,1095,9,10000,8896,1007,88
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,43,"Alegeri Prezidentiale",1,0,951,0,951,0,945,6,10008,9057,885,60
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,44,"Alegeri Prezidentiale",1,0,825,0,825,0,817,8,10000,9175,774,43
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,45,"Alegeri Prezidentiale",1,0,827,0,827,0,824,3,10000,9173,777,47
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,46,"Alegeri Prezidentiale",1,0,922,0,922,0,914,8,9999,9077,871,43
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,47,"Alegeri Prezidentiale",1,0,1160,0,1160,0,1150,10,10000,8840,1097,53
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,48,"Alegeri Prezidentiale",2,0,1025,0,1025,0,1016,9,10000,8975,952,64
48,STRĂINĂTATE,BELGIA,9999,LIEGE,LIEGE,49,"Alegeri Prezidentiale",1,0,1193,0,1193,0,1185,8,10000,8807,1124,61
48,STRĂINĂTATE,BELGIA,9999,LIEGE,LIEGE,50,"Alegeri Prezidentiale",1,0,1194,0,1194,0,1189,5,1200,6,1130,59
48,STRĂINĂTATE,BELGIA,9999,ANTWERP,ANTWERP,51,"Alegeri Prezidentiale",1,0,2928,0,2928,0,2909,19,9993,7065,2771,138
48,STRĂINĂTATE,BELGIA,9999,ANTWERP,ANTWERP,52,"Alegeri Prezidentiale",1,0,3079,0,3079,0,3044,35,10000,6921,2903,141
48,STRĂINĂTATE,BELGIA,9999,MONS,MONS,53,"Alegeri Prezidentiale",1,0,573,0,573,0,564,9,10000,9427,527,37
48,STRĂINĂTATE,BELGIA,9999,MONS,MONS,54,"Alegeri Prezidentiale",2,0,391,0,391,0,389,2,10000,9609,361,28
48,STRĂINĂTATE,BELGIA,9999,CHARLEROI,CHARLEROI,55,"Alegeri Prezidentiale",2,0,553,0,553,0,552,1,10000,9447,526,26
48,STRĂINĂTATE,BELGIA,9999,CHARLEROI,CHARLEROI,56,"Alegeri Prezidentiale",1,0,683,0,683,0,675,8,10000,9317,624,51
48,STRĂINĂTATE,BELGIA,9999,BRUGES,BRUGES,57,"Alegeri Prezidentiale",1,0,1752,0,1752,0,1734,18,10000,8248,1646,88
48,STRĂINĂTATE,BELGIA,9999,BRUGES,BRUGES,58,"Alegeri Prezidentiale",1,0,1592,0,1592,0,1566,26,10000,8408,1491,75
48,STRĂINĂTATE,BELGIA,9999,GENT,GENT,59,"Alegeri Prezidentiale",2,0,1667,0,1667,0,1644,23,10000,8333,1544,100
48,STRĂINĂTATE,"BOSNIA SI HERTEGOVINA",9999,SARAJEVO,SARAJEVO,60,"Alegeri Prezidentiale",1,0,58,0,58,0,53,5,401,343,45,8
48,STRĂINĂTATE,BRAZILIA,9999,BRASILIA,BRASILIA,61,"Alegeri Prezidentiale",1,0,10,0,10,0,10,0,200,190,10,0
48,STRĂINĂTATE,BRAZILIA,9999,"RIO DE JANEIRO","RIO DE JANEIRO",62,"Alegeri Prezidentiale",2,0,38,0,38,0,36,2,200,162,35,1
48,STRĂINĂTATE,BULGARIA,9999,SOFIA,SOFIA,63,"Alegeri Prezidentiale",1,0,310,0,310,0,305,5,4000,3690,281,24
48,STRĂINĂTATE,CANADA,9999,OTTAWA,OTTAWA,64,"Alegeri Prezidentiale",1,0,395,0,395,0,393,2,4000,3605,354,39
48,STRĂINĂTATE,CANADA,9999,CALGARY,CALGARY,65,"Alegeri Prezidentiale",1,0,461,0,461,0,461,0,5000,4539,436,25
