precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,c,c1,c2,d,d1,d2,"ANA BIRCHALL-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","CRISTIAN DIACONESCU-voturi","MIRCEA-DAN GEOANĂ-voturi","SILVIU PREDOIU-voturi","CRISTIAN-VASILE TERHEȘ-voturi","LUDOVIC ORBAN-voturi","CĂLIN GEORGESCU-voturi","ELENA-VALERICA LASCONI-voturi","ION-MARCEL CIOLACU-voturi","ALEXANDRA-BEATRICE BERTALAN-PĂCURARU-voturi","NICOLAE-IONEL CIUCĂ-voturi","GEORGE-NICOLAE SIMION-voturi","HUNOR KELEMEN-voturi"
43,STRĂINĂTATE,BOGOTA,98,"REPUBLICA COLUMBIA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 05:42:02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,SEOUL,99,"REPUBLICA COREEA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 15:19:26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,ZAGREB,100,"REPUBLICA CROAȚIA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 23:21:32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,HAVANA,101,CUBA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 05:24:47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"COPENHAGA 2 (VALBY)",103,DANEMARCA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 01:33:08",0,8,8,0,8,8,0,8,8,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0
43,STRĂINĂTATE,CAIRO,117,EGIPT,9999,3,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 01:29:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,BERNA,120,ELVEȚIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 02:51:39",0,54,53,1,53,53,0,53,53,0,1,0,2,5,0,0,2,1,36,0,1,4,1,0
43,STRĂINĂTATE,"ABU DHABI",126,"EMIRATELE ARABE UNITE",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 22:34:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"DUBAI 1",127,"EMIRATELE ARABE UNITE",9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 17:45:56",0,2,2,0,2,2,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
43,STRĂINĂTATE,TALLINN,129,ESTONIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 21:56:12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"ADDIS ABEBA",130,ETIOPIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 21:04:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,MANILA,131,FILIPINE,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 16:47:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
