Judet,UAT,Localitate,Siruta,"Nr sectie de votare","Nume sectie de votare",Mediu,"Înscriși pe liste permanente",LP,LS,LSC,UM,LT,"Barbati 18-24","Barbati 25-34","Barbati 35-44","Barbati 45-64","Barbati 65+","Femei 18-24","Femei 25-34","Femei 35-44","Femei 45-64","Femei 65+","Barbati 18","Barbati 19","Barbati 20","Barbati 21","Barbati 22","Barbati 23","Barbati 24","Barbati 25","Barbati 26","Barbati 27","Barbati 28","Barbati 29","Barbati 30","Barbati 31","Barbati 32","Barbati 33","Barbati 34","Barbati 35","Barbati 36","Barbati 37","Barbati 38","Barbati 39","Barbati 40","Barbati 41","Barbati 42","Barbati 43","Barbati 44","Barbati 45","Barbati 46","Barbati 47","Barbati 48","Barbati 49","Barbati 50","Barbati 51","Barbati 52","Barbati 53","Barbati 54","Barbati 55","Barbati 56","Barbati 57","Barbati 58","Barbati 59","Barbati 60","Barbati 61","Barbati 62","Barbati 63","Barbati 64","Barbati 65","Barbati 66","Barbati 67","Barbati 68","Barbati 69","Barbati 70","Barbati 71","Barbati 72","Barbati 73","Barbati 74","Barbati 75","Barbati 76","Barbati 77","Barbati 78","Barbati 79","Barbati 80","Barbati 81","Barbati 82","Barbati 83","Barbati 84","Barbati 85","Barbati 86","Barbati 87","Barbati 88","Barbati 89","Barbati 90","Barbati 91","Barbati 92","Barbati 93","Barbati 94","Barbati 95","Barbati 96","Barbati 97","Barbati 98","Barbati 99","Barbati 100","Barbati 101","Barbati 102","Barbati 103","Barbati 104","Barbati 105","Barbati 106","Barbati 107","Barbati 108","Barbati 109","Barbati 110","Barbati 111","Barbati 112","Barbati 113","Barbati 114","Barbati 115","Barbati 116","Barbati 117","Barbati 118","Barbati 119","Barbati 120","Femei 18","Femei 19","Femei 20","Femei 21","Femei 22","Femei 23","Femei 24","Femei 25","Femei 26","Femei 27","Femei 28","Femei 29","Femei 30","Femei 31","Femei 32","Femei 33","Femei 34","Femei 35","Femei 36","Femei 37","Femei 38","Femei 39","Femei 40","Femei 41","Femei 42","Femei 43","Femei 44","Femei 45","Femei 46","Femei 47","Femei 48","Femei 49","Femei 50","Femei 51","Femei 52","Femei 53","Femei 54","Femei 55","Femei 56","Femei 57","Femei 58","Femei 59","Femei 60","Femei 61","Femei 62","Femei 63","Femei 64","Femei 65","Femei 66","Femei 67","Femei 68","Femei 69","Femei 70","Femei 71","Femei 72","Femei 73","Femei 74","Femei 75","Femei 76","Femei 77","Femei 78","Femei 79","Femei 80","Femei 81","Femei 82","Femei 83","Femei 84","Femei 85","Femei 86","Femei 87","Femei 88","Femei 89","Femei 90","Femei 91","Femei 92","Femei 93","Femei 94","Femei 95","Femei 96","Femei 97","Femei 98","Femei 99","Femei 100","Femei 101","Femei 102","Femei 103","Femei 104","Femei 105","Femei 106","Femei 107","Femei 108","Femei 109","Femei 110","Femei 111","Femei 112","Femei 113","Femei 114","Femei 115","Femei 116","Femei 117","Femei 118","Femei 119","Femei 120"
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,22,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",U,1150,560,127,0,0,687,21,48,65,100,82,26,46,62,135,102,7,1,0,3,4,1,5,2,8,4,5,4,4,4,3,7,7,4,6,7,4,3,10,11,6,8,6,4,6,10,3,3,7,5,1,6,8,5,4,2,6,3,4,6,5,3,9,3,7,6,7,5,3,7,3,6,3,7,4,6,2,1,5,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,6,0,6,1,3,4,3,6,8,6,1,3,7,5,9,9,6,12,2,3,5,6,1,9,7,15,3,4,8,4,3,6,9,5,8,5,8,4,7,10,8,10,4,7,5,13,10,8,8,10,12,6,8,8,2,4,2,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,23,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",U,1616,818,70,0,0,888,37,47,75,164,95,40,47,92,189,102,14,5,4,6,2,2,4,3,3,3,3,5,4,6,6,7,7,6,11,3,3,4,7,9,14,9,9,10,12,12,11,9,13,10,4,12,9,4,8,7,3,6,3,9,11,4,7,4,6,7,6,9,9,4,9,5,11,3,5,5,1,3,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,5,6,2,3,3,7,4,7,2,5,3,1,5,8,5,12,10,13,7,5,9,9,12,7,8,14,14,13,12,11,9,8,6,6,6,9,13,5,8,2,10,9,11,14,9,9,10,18,5,7,12,13,4,3,3,5,3,2,1,2,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,24,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",U,1005,469,35,0,0,504,13,28,56,73,58,11,27,63,95,80,0,1,3,2,4,2,1,2,5,2,1,3,4,0,3,4,4,6,3,8,5,4,5,4,4,9,8,1,4,10,4,4,4,6,2,4,6,3,5,4,0,4,1,0,4,6,1,5,8,6,3,4,5,2,5,5,5,2,1,0,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,1,1,3,1,2,1,4,4,4,2,4,2,6,6,6,8,5,4,9,2,9,8,2,3,6,6,5,5,5,4,5,5,2,4,7,6,4,6,3,6,5,6,7,6,8,6,9,5,6,3,6,1,4,7,5,1,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,25,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",U,1157,569,52,0,0,621,18,31,40,105,76,28,23,62,137,101,1,3,3,4,2,2,3,3,2,3,3,2,1,6,1,3,7,3,3,5,2,4,1,2,7,6,7,6,5,9,9,11,3,4,5,2,7,6,9,5,2,3,4,4,4,3,4,9,6,8,3,10,4,9,5,3,3,1,5,2,0,2,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,4,4,4,2,7,4,0,2,0,3,2,1,2,2,1,6,9,7,5,6,7,6,2,13,11,7,9,5,9,3,4,7,8,1,10,6,5,5,6,7,8,14,8,4,6,8,6,14,11,10,6,8,4,7,3,3,3,3,0,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,26,"LICEUL CU PROGRAM SPORTIV",U,1288,592,82,0,0,674,20,33,73,110,72,15,35,85,131,100,4,5,1,3,3,3,1,3,1,3,1,2,4,3,6,2,8,3,4,5,10,5,9,10,13,7,7,11,10,5,10,3,3,4,6,6,3,9,6,5,3,5,3,6,2,6,4,4,5,4,10,10,9,8,4,3,3,2,3,1,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,3,3,1,7,6,2,2,2,6,2,3,4,10,5,10,11,7,3,17,7,8,7,10,7,10,9,8,10,9,5,1,4,9,5,3,6,5,2,6,3,10,9,12,12,5,15,13,8,6,6,6,5,5,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,27,"LICEUL CU PROGRAM SPORTIV",U,1293,601,77,0,0,678,30,42,69,101,80,24,32,78,140,82,5,7,3,1,7,3,4,7,3,6,3,2,6,4,1,6,4,6,4,9,7,3,7,5,13,6,9,6,6,7,10,6,7,6,5,3,8,1,6,5,5,1,3,5,2,4,5,8,3,9,5,6,7,11,5,5,3,3,6,1,1,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,1,2,6,3,0,6,4,2,2,2,3,4,6,5,7,8,3,7,8,11,9,12,8,9,11,8,10,5,4,7,5,8,6,7,4,5,5,5,5,12,7,8,9,4,6,11,9,10,8,8,5,3,6,2,5,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,28,"LICEUL CU PROGRAM SPORTIV",U,1405,691,92,0,0,783,32,36,66,136,98,31,35,78,148,123,4,3,10,3,4,3,5,5,3,3,1,6,5,1,5,2,5,6,9,9,8,6,7,4,4,5,8,6,11,10,5,10,8,5,15,6,10,9,6,5,7,1,7,4,5,1,5,7,9,5,6,6,6,6,5,6,5,1,9,1,2,4,0,2,3,3,5,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,2,2,1,4,9,4,4,7,2,1,6,3,3,2,3,7,9,9,3,6,10,2,5,11,16,10,6,2,16,6,6,6,10,9,8,4,10,7,3,1,7,7,10,8,12,9,9,6,8,8,9,9,4,10,5,6,9,4,5,5,4,0,3,1,2,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,29,"LICEUL CU PROGRAM SPORTIV",U,927,415,82,0,0,497,22,34,43,73,51,23,35,46,96,74,3,2,2,4,3,3,5,3,5,3,2,1,4,3,3,7,3,5,4,6,5,4,4,2,5,3,5,5,5,5,5,4,1,4,3,6,2,0,2,9,4,1,3,7,2,3,2,1,3,4,6,8,7,6,1,2,3,3,1,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,2,5,5,6,5,2,4,3,2,2,6,2,3,4,8,7,4,6,2,3,3,5,4,2,6,3,5,6,5,0,7,5,8,6,7,4,7,2,4,4,3,8,4,2,3,8,6,6,3,11,14,2,5,1,3,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,30,"BAZIN OLIMPIC",U,1072,487,24,0,0,511,9,19,59,73,81,19,19,45,105,82,1,2,0,1,1,4,0,1,1,2,3,2,2,2,0,1,5,2,8,7,5,8,5,3,8,9,4,2,7,3,5,8,5,2,1,5,4,7,6,0,2,1,2,2,2,5,4,8,8,6,7,9,7,10,5,3,5,5,3,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,3,0,3,4,2,1,3,0,2,0,2,1,1,7,8,5,2,5,3,5,2,3,5,7,4,8,5,8,10,5,2,4,7,3,3,4,5,3,1,3,8,5,7,10,11,4,14,6,7,3,12,6,5,7,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,31,"BAZIN OLIMPIC",U,1229,459,130,0,0,589,25,49,69,95,37,43,42,58,128,43,0,2,5,4,3,6,5,6,5,3,3,5,8,5,3,4,7,10,9,4,8,9,10,5,4,2,8,7,12,3,2,6,4,2,5,2,8,2,8,7,2,4,2,2,3,7,7,5,3,4,4,8,2,4,2,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,6,9,9,8,5,6,3,3,4,4,4,3,3,7,4,7,7,7,6,4,4,3,9,7,5,6,9,3,4,5,5,4,6,9,9,6,7,5,5,9,4,13,8,6,9,5,3,4,4,3,3,2,3,1,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,32,"STADION MUNICIPAL „CETATE”",U,1320,661,74,0,0,735,14,40,97,121,94,17,42,90,139,81,3,4,2,2,1,1,1,5,3,1,1,2,4,3,8,7,6,4,11,10,6,12,9,14,12,12,7,7,6,7,8,9,3,5,5,1,7,4,6,7,4,2,4,2,5,12,17,14,15,16,7,5,3,4,7,6,3,1,2,5,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,0,2,4,4,4,3,2,5,3,5,7,2,7,8,15,9,9,14,7,3,5,13,7,7,8,4,12,1,5,3,8,5,5,4,11,2,6,8,4,14,11,11,10,15,9,8,8,3,3,4,9,4,2,5,2,3,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,33,"GRĂDINIȚA CU PROGRAM NORMAL NR. 10",U,1675,716,44,0,0,760,29,48,90,134,58,34,51,100,161,55,5,3,2,2,5,9,3,2,6,3,5,6,6,6,2,6,6,5,10,9,15,8,9,9,10,9,6,14,4,5,9,6,6,6,5,6,7,5,9,6,9,5,7,8,6,3,8,6,9,6,4,3,3,6,5,4,5,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,2,0,4,7,4,4,4,4,3,5,1,7,3,10,10,10,13,13,10,7,13,6,7,10,11,5,7,12,8,7,6,4,4,4,10,7,10,8,11,10,8,10,11,13,6,7,6,6,7,5,4,4,1,4,2,1,1,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,34,"GRĂDINIŢA CU PROGRAM NORMAL NR. 10",U,1452,583,59,0,0,642,25,42,65,121,52,26,53,65,137,56,2,2,5,3,3,6,4,3,5,4,3,3,4,5,3,6,6,9,7,11,7,4,5,7,4,7,4,7,3,9,5,10,4,7,3,3,8,9,14,11,5,3,6,1,5,1,7,8,7,4,8,4,5,4,2,2,2,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,4,4,4,6,3,8,2,4,6,6,1,11,4,8,8,6,7,5,7,8,4,7,6,7,3,9,4,2,5,12,4,8,8,15,10,9,7,6,5,4,4,7,7,8,5,6,8,3,6,5,5,4,1,1,1,3,2,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,35,"COLEGIUL TEHNIC „DORIN PAVEL” ȘCOALA GENERALĂ NR. 9",U,1452,707,88,0,0,795,30,38,103,124,59,24,42,119,138,118,8,3,8,2,0,4,5,6,1,4,3,6,4,1,3,1,9,6,11,6,9,11,13,12,9,12,14,10,10,8,9,14,11,4,7,4,5,7,7,5,2,0,4,4,3,0,10,6,5,4,6,7,2,3,7,4,6,2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,2,3,2,1,3,7,1,4,4,4,2,5,11,11,14,13,11,12,9,14,14,10,11,6,10,6,10,14,8,3,6,7,8,6,5,7,8,2,5,7,5,8,7,7,10,9,15,5,6,10,11,3,8,6,3,6,2,2,2,1,5,1,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,36,"COLEGIUL TEHNIC „DORIN PAVEL”",U,828,382,91,0,0,473,23,37,60,73,47,7,40,60,94,32,4,3,4,5,3,3,1,3,2,3,2,4,4,3,4,8,4,8,6,6,7,10,5,2,4,7,5,2,5,4,1,4,3,2,5,1,5,2,2,5,2,5,6,3,3,9,4,11,7,4,8,5,4,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,7,3,5,1,6,1,2,5,6,4,6,5,8,10,5,8,5,3,3,7,7,2,1,3,2,4,2,5,2,2,3,7,4,7,9,9,9,5,5,6,4,4,7,3,1,1,1,2,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,37,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 16",U,1533,650,158,0,0,808,28,61,92,156,62,26,72,77,170,64,6,5,3,2,7,3,2,7,7,5,4,4,6,7,3,11,7,13,11,10,14,12,10,5,7,5,5,6,4,8,8,11,7,6,11,10,8,9,6,5,4,6,8,5,11,10,13,7,4,9,5,7,7,4,6,5,2,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,3,4,4,5,3,6,5,8,3,9,4,13,6,15,9,10,10,7,5,10,5,6,6,9,6,9,7,5,12,5,7,10,9,5,10,4,6,15,12,9,9,9,6,15,13,5,8,10,11,4,1,2,3,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,38,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",U,2004,992,77,0,0,1069,37,109,149,176,62,40,112,131,195,58,4,6,6,5,5,5,6,4,7,15,9,10,7,14,15,13,15,15,19,21,22,14,15,13,9,9,12,12,11,8,11,4,11,20,15,13,5,6,10,6,3,5,6,6,8,10,6,10,10,8,11,2,1,3,3,0,4,0,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,4,4,7,5,6,7,13,6,13,10,15,15,13,14,17,19,16,11,17,11,9,10,10,11,10,19,7,10,9,15,5,10,5,11,6,17,18,6,6,9,7,3,13,9,8,6,8,12,4,1,6,2,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,39,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",U,1487,648,75,0,0,723,30,43,88,133,56,41,59,63,161,49,1,6,4,6,3,3,7,3,5,5,3,1,6,2,4,5,9,11,8,8,12,13,9,7,7,6,7,7,12,5,10,1,6,8,9,6,4,6,13,6,3,5,8,6,5,6,7,6,6,11,8,4,5,4,2,2,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,10,7,5,7,0,6,5,5,3,6,3,11,11,5,4,4,7,9,5,9,6,8,7,4,4,10,10,8,5,6,3,9,7,6,9,5,10,12,8,7,5,8,10,13,10,5,14,7,2,8,5,3,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,40,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",U,1327,558,31,0,0,589,19,46,69,105,46,26,45,66,117,50,3,3,3,2,1,5,2,4,5,1,4,3,5,4,3,6,11,6,8,7,12,5,9,8,4,5,5,5,6,7,5,4,6,4,7,6,6,6,9,3,4,3,6,2,3,7,6,7,4,3,2,6,3,6,4,0,5,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,6,5,5,3,7,3,4,1,0,4,7,10,5,4,3,9,7,9,6,7,6,4,6,9,9,8,4,5,8,8,7,2,5,10,5,5,3,4,2,5,9,7,7,4,6,5,8,4,3,4,5,4,4,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,41,"FLORIDA GOLD SRL",U,1448,809,66,0,0,875,31,51,108,169,67,34,69,91,196,59,6,2,2,3,3,5,10,1,4,4,3,5,4,4,8,10,8,10,11,10,15,9,11,8,11,13,10,14,9,15,12,9,13,10,7,8,13,7,8,12,6,4,7,4,3,5,3,4,5,6,3,5,8,5,5,3,4,9,3,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,1,5,5,2,4,5,3,5,6,7,10,8,9,3,13,9,10,6,13,9,9,10,12,5,8,16,15,12,13,17,8,14,14,6,11,9,16,7,4,6,3,7,4,9,5,3,4,10,3,6,6,7,2,5,3,5,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,43,"GRĂDINIŢA CU PROGRAM NORMAL NR. 5 PARTOŞ",U,849,442,27,0,1,470,23,27,42,80,61,19,21,40,95,62,3,4,2,3,6,3,2,2,1,1,3,3,1,1,3,4,8,3,1,5,3,4,9,8,3,5,1,2,6,2,8,4,7,5,3,4,3,4,3,5,7,1,1,5,1,4,5,6,4,5,5,8,7,9,6,3,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,3,1,3,1,3,2,4,0,2,4,1,2,2,6,7,2,4,3,2,5,4,2,5,5,7,4,8,8,4,4,4,4,6,4,6,7,2,1,7,3,1,5,5,3,6,3,10,3,6,6,6,2,2,0,2,3,2,0,2,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,44,"CĂMINUL PENTRU PERSOANE VÂRSTNICE",U,1246,680,107,0,0,787,34,38,79,144,96,21,49,69,165,92,7,5,6,5,3,4,4,2,8,3,4,1,4,4,4,4,4,9,8,11,3,7,4,4,11,12,10,6,4,14,9,18,9,11,6,7,10,8,9,6,2,7,4,5,2,2,5,2,4,9,9,9,4,5,9,10,3,4,5,3,5,1,2,0,3,1,0,2,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,2,3,3,4,2,6,2,3,4,3,5,6,14,8,2,7,8,8,12,2,10,5,7,9,11,21,8,7,11,13,9,7,14,13,7,10,4,0,5,3,6,5,2,6,4,3,10,6,6,1,11,10,4,2,3,0,0,0,0,6,3,3,1,2,1,2,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA",BĂRĂBANŢ,1017,45,"GRĂDINIŢA CU PROGRAM NORMAL BĂRĂBANŢ",U,1020,471,40,0,0,511,22,31,51,96,59,10,43,43,104,52,5,2,5,4,4,0,2,3,1,2,3,5,4,2,1,3,7,5,5,8,2,2,7,4,4,8,6,9,7,2,8,5,7,2,1,6,5,7,6,3,4,4,2,8,3,4,3,5,4,4,7,9,9,5,3,1,3,1,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,0,1,0,3,5,2,0,4,3,2,4,10,10,2,2,3,1,7,5,8,6,4,5,3,6,7,9,3,7,2,5,4,2,8,5,4,6,4,6,4,9,4,6,8,4,6,8,6,2,2,6,2,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA",BĂRĂBANŢ,1017,46,"GRĂDINIŢA CU PROGRAM NORMAL BĂRĂBANŢ",U,1270,631,23,0,0,654,25,41,66,123,68,26,43,60,142,60,4,2,8,3,1,2,5,1,2,2,4,6,5,5,2,7,7,10,10,7,3,7,5,6,5,4,9,8,7,5,5,7,3,5,4,8,7,9,6,8,3,6,5,12,3,8,4,4,4,10,6,6,7,4,1,5,6,1,1,4,0,1,1,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,1,4,3,8,2,2,4,4,4,6,3,5,7,6,7,7,9,5,6,7,5,6,3,5,10,7,3,13,8,4,3,8,6,7,10,7,12,3,6,5,6,4,10,10,5,4,9,4,5,5,5,4,5,1,2,2,0,3,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
