precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,c,c1,c2,d,d1,d2,"GEORGE-NICOLAE SIMION-voturi","GEORGE-CRIN-LAURENȚIU ANTONESCU-voturi","ELENA-VALERICA LASCONI-voturi","CRISTIAN-VASILE TERHEȘ-voturi","MARCELA-LAVINIA ȘANDRU-voturi","VICTOR-VIOREL PONTA-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","SILVIU PREDOIU-voturi","JOHN-ION BANU-MUSCEL-voturi","PETRU-DANIEL FUNERIU-voturi","NICUȘOR-DANIEL DAN-voturi"
43,STRĂINĂTATE,"CATANIA 1",403,ITALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 23:10:00",0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"MILANO 1",410,ITALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 23:00:59",0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"TORINO 1",435,ITALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 01:55:20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,TRIESTE,468,ITALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 23:59:21",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
43,STRĂINĂTATE,TOKYO,491,JAPONIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 18:48:28",0,9,6,3,6,6,0,6,6,0,0,1,1,0,0,0,0,0,0,1,3
43,STRĂINĂTATE,ASTANA,492,"REPUBLICA KAZAHSTAN",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:05:01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,NAIROBI,493,KENYA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:42:19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,KUWEIT,494,KUWEIT,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:54:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,BEIRUT,495,"REPUBLICA LIBANEZĂ",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:25:42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,VILNIUS,496,LITUANIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:35:40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
